"Event","Tag","Ticks"
0,CONV_2D,13679
1,CONV_2D,37210
2,CONV_2D,32631
3,ADD,3892
4,CONV_2D,17471
5,CONV_2D,29505
6,CONV_2D,2644
7,ADD,1990
8,CONV_2D,15794
9,CONV_2D,27343
10,CONV_2D,2124
11,ADD,470
12,AVERAGE_POOL_2D,43
13,RESHAPE,3
14,FULLY_CONNECTED,14
15,SOFTMAX,27
