"padding_type", "padding_width", "padding_height", "padding_width_offset", "padding_height_offset", "stride_width", "stride_height", "dilation_width_factor", "dilation_height_factor", "input_offset", "weights_offset", "output_offset", "output_multiplier", "output_shift", "quantized_activation_min", "quantized_activation_max", "input_batches", "input_height", "input_width", "input_depth", "filter_output_depth", "filter_height", "filter_width", "filter_input_depth", "output_batches", "output_height", "output_width", "output_depth",
.kSame, 1, 1, 0, 1, 1, 1, 1, 1, 128, 0, -128, 0, 0, -128, 127, 1, 32, 32, 3, 16, 3, 3, 3, 1, 32, 32, 16,
.kSame, 1, 1, 0, 1, 1, 1, 1, 1, 128, 0, -128, 0, 0, -128, 127, 1, 32, 32, 16, 16, 3, 3, 16, 1, 32, 32, 16,
.kSame, 1, 1, 0, 1, 1, 1, 1, 1, 128, 0, 4, 0, 0, -128, 127, 1, 32, 32, 16, 16, 3, 3, 16, 1, 32, 32, 16,
..kSame, 0, 0, 0, 1, 2, 2, 1, 1, 128, 0, -128, 0, 0, -128, 127, 1, 32, 32, 16, 32, 3, 3, 16, 1, 16, 16, 32,
.kSame, 1, 1, 0, 1, 1, 1, 1, 1, 128, 0, 4, 0, 0, -128, 127, 1, 16, 16, 32, 32, 3, 3, 32, 1, 16, 16, 32,
.kSame, 0, 0, 0, 1, 2, 2, 1, 1, 128, 0, -17, 0, 0, -128, 127, 1, 32, 32, 16, 32, 1, 1, 16, 1, 16, 16, 32,
..kSame, 0, 0, 0, 1, 2, 2, 1, 1, 128, 0, -128, 0, 0, -128, 127, 1, 16, 16, 32, 64, 3, 3, 32, 1, 8, 8, 64,
.kSame, 1, 1, 0, 1, 1, 1, 1, 1, 128, 0, -2, 0, 0, -128, 127, 1, 8, 8, 64, 64, 3, 3, 64, 1, 8, 8, 64,
.kSame, 0, 0, 0, 1, 2, 2, 1, 1, 128, 0, 38, 0, 0, -128, 127, 1, 16, 16, 32, 64, 1, 1, 32, 1, 8, 8, 64,
