"Event","Tag","Ticks"
0,CONV_2D,26920
1,CONV_2D,50142
2,CONV_2D,50470
3,ADD,3955
4,CONV_2D,27733
5,CONV_2D,47273
6,CONV_2D,4583
7,ADD,2004
8,CONV_2D,25583
9,CONV_2D,41335
10,CONV_2D,3547
11,ADD,469
12,AVERAGE_POOL_2D,42
13,RESHAPE,2
14,FULLY_CONNECTED,14
15,SOFTMAX,28
