"Event","Tag","Ticks"
0,CONV_2D,19876
1,DEPTHWISE_CONV_2D,3926
2,CONV_2D,11144
3,DEPTHWISE_CONV_2D,4045
4,CONV_2D,12329
5,DEPTHWISE_CONV_2D,4268
6,CONV_2D,11963
7,DEPTHWISE_CONV_2D,4178
8,CONV_2D,12156
9,AVERAGE_POOL_2D,90
10,RESHAPE,2
11,FULLY_CONNECTED,15
12,SOFTMAX,32
