"Event","Tag","Ticks"
0,FULLY_CONNECTED,1065
1,FULLY_CONNECTED,214
2,FULLY_CONNECTED,214
3,FULLY_CONNECTED,214
4,FULLY_CONNECTED,17
5,FULLY_CONNECTED,24
6,FULLY_CONNECTED,230
7,FULLY_CONNECTED,218
8,FULLY_CONNECTED,214
9,FULLY_CONNECTED,1060
